Luck Scale,Provinces,Expected Events/Turn,Expected Gold/Turn,Expected Landgold/Turn,Avg Gold per Good Event,Avg Gold per Bad Event,Avg Gold per Event,Avg Landgold per Good Event,Avg Landgold per Bad Event,Avg Landgold per Event
-5,10,1.625,-98.74,-5.5085,190.64,-60.76,-60.76,1.85,-3.39,-3.39
-4,10,1.45,-51.65,-4.1549,190.64,-60.76,-35.62,1.85,-3.39,-2.87
-3,10,1.275,-13.37,-2.9848,190.64,-60.76,-10.48,1.85,-3.39,-2.34
-2,10,1.1,15.82,-1.9219,190.64,-61.15,14.38,1.85,-3.29,-1.75
-1,10,0.925,34.97,-0.4613,190.64,-64.09,37.8,1.85,-2.07,-0.5
0,10,0.75,47.43,0.1423,194.96,-68.48,63.24,1.9,-1.52,0.19
1,10,0.925,92.46,0.5565,212.77,-69.26,99.96,1.99,-1.48,0.6
2,10,1.1,155.67,1.3202,231.93,-69.44,141.52,2.33,-1.44,1.2
3,10,1.275,264.22,2.2064,276.4,-69.44,207.23,2.52,-1.44,1.73
4,10,1.45,363.95,3.0712,286.6,-69.44,251.0,2.51,-1.44,2.12
5,10,1.625,482.18,4.0686,296.73,-69.44,296.73,2.5,-1.44,2.5
-5,20,2.175,-132.16,-7.3729,190.64,-60.76,-60.76,1.85,-3.39,-3.39
-4,20,2.0,-71.25,-5.7309,190.64,-60.76,-35.62,1.85,-3.39,-2.87
-3,20,1.825,-19.13,-4.2724,190.64,-60.76,-10.48,1.85,-3.39,-2.34
-2,20,1.65,23.73,-2.8828,190.64,-61.15,14.38,1.85,-3.29,-1.75
-1,20,1.475,55.76,-0.7356,190.64,-64.09,37.8,1.85,-2.07,-0.5
0,20,1.3,82.22,0.2466,194.96,-68.48,63.24,1.9,-1.52,0.19
1,20,1.475,147.43,0.8875,212.77,-69.26,99.96,1.99,-1.48,0.6
2,20,1.65,233.51,1.9803,231.93,-69.44,141.52,2.33,-1.44,1.2
3,20,1.825,378.2,3.1582,276.4,-69.44,207.23,2.52,-1.44,1.73
4,20,2.0,502.0,4.2361,286.6,-69.44,251.0,2.51,-1.44,2.12
5,20,2.175,645.38,5.4456,296.73,-69.44,296.73,2.5,-1.44,2.5
-5,30,2.555,-155.25,-8.661,190.64,-60.76,-60.76,1.85,-3.39,-3.39
-4,30,2.43,-86.56,-6.963,190.64,-60.76,-35.62,1.85,-3.39,-2.87
-3,30,2.305,-24.16,-5.3961,190.64,-60.76,-10.48,1.85,-3.39,-2.34
-2,30,2.18,31.35,-3.8088,190.64,-61.15,14.38,1.85,-3.29,-1.75
-1,30,2.025,76.55,-1.0099,190.64,-64.09,37.8,1.85,-2.07,-0.5
0,30,1.85,117.0,0.3509,194.96,-68.48,63.24,1.9,-1.52,0.19
1,30,2.025,202.41,1.2184,212.77,-69.26,99.96,1.99,-1.48,0.6
2,30,2.18,308.51,2.6164,231.93,-69.44,141.52,2.33,-1.44,1.2
3,30,2.305,477.68,3.9889,276.4,-69.44,207.23,2.52,-1.44,1.73
4,30,2.43,609.93,5.1469,286.6,-69.44,251.0,2.51,-1.44,2.12
5,30,2.555,758.14,6.397,296.73,-69.44,296.73,2.5,-1.44,2.5
